Latitude,Longitude,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO2LSTE_001_SDS_LST,ECO2LSTE_001_SDS_LST_err,ECO2LSTE_001_SDS_QC,ECO2LSTE_001_SDS_QC_bitmask,ECO2LSTE_001_SDS_QC_Mandatory_QA_flags,ECO2LSTE_001_SDS_QC_Mandatory_QA_flags_Description,ECO2LSTE_001_SDS_QC_Data_quality_flag,ECO2LSTE_001_SDS_QC_Data_quality_flag_Description,ECO2LSTE_001_SDS_QC_Cloud/Ocean_Flag,ECO2LSTE_001_SDS_QC_Cloud/Ocean_Flag_Description,ECO2LSTE_001_SDS_QC_Iterations,ECO2LSTE_001_SDS_QC_Iterations_Description,ECO2LSTE_001_SDS_QC_Atmospheric_Opacity,ECO2LSTE_001_SDS_QC_Atmospheric_Opacity_Description,ECO2LSTE_001_SDS_QC_MMD,ECO2LSTE_001_SDS_QC_MMD_Description,ECO2LSTE_001_SDS_QC_Emissivity_accuracy,ECO2LSTE_001_SDS_QC_Emissivity_accuracy_Description,ECO2LSTE_001_SDS_QC_LST_accuracy,ECO2LSTE_001_SDS_QC_LST_accuracy_Description
37.40625,-76.78125,2021-09-22 21:59:24 UTC,18227,008,0601,True,0.0,3.04,2.0,0b0000000000000010,0b10,"Pixel produced, but cloud detected",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b00,Slow convergence,0b00,">=3 (Warm, humid air; or cold land)",0b00,>0.15 (Most silicate rocks),0b00,>0.02 (Poor performance),0b00,>2 K (Poor performance)
37.40625,-76.78125,2021-09-26 03:45:42 UTC,18277,010,0601,False,286.22,1.4,36544.0,0b1000111011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b11,"<0.03 (Vegetation, snow, water, ice)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance)
37.40625,-76.78125,2021-10-04 00:40:49 UTC,18399,016,0601,True,272.34,1.92,16834.0,0b0100000111000010,0b10,"Pixel produced, but cloud detected",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b00,>0.15 (Most silicate rocks),0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance)
37.40625,-76.78125,2021-10-04 17:22:38 UTC,18410,009,0601,True,277.58,2.52,450.0,0b0000000111000010,0b10,"Pixel produced, but cloud detected",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b00,>0.15 (Most silicate rocks),0b00,>0.02 (Poor performance),0b00,>2 K (Poor performance)
37.40625,-76.78125,2021-10-08 15:49:17 UTC,18471,007,0601,True,282.52,2.04,18882.0,0b0100100111000010,0b10,"Pixel produced, but cloud detected",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance)
37.40625,-76.78125,2021-10-12 14:16:33 UTC,18533,006,0601,True,287.1,2.0,18880.0,0b0100100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance)
37.40625,-76.78125,2021-10-15 20:03:30 UTC,18583,012,0601,True,276.3,2.24,16834.0,0b0100000111000010,0b10,"Pixel produced, but cloud detected",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b00,>0.15 (Most silicate rocks),0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance)
37.40625,-76.78125,2021-10-16 12:45:11 UTC,18594,008,0601,True,291.96,1.92,19904.0,0b0100110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b11,"<0.03 (Vegetation, snow, water, ice)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance)
37.40625,-76.78125,2021-10-20 11:13:17 UTC,18655,007,0601,True,255.76,1.0,41410.0,0b1010000111000010,0b10,"Pixel produced, but cloud detected",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b00,>0.15 (Most silicate rocks),0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
37.40625,-76.78125,2021-10-23 16:59:31 UTC,18705,012,0601,True,278.92,1.4,35522.0,0b1000101011000010,0b10,"Pixel produced, but cloud detected",0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance)
